,Problem,Rationale,options,correct,annotated_formula,linear_formula,category,prompt,text,clean,cluster,gpt_generated,gpt_score
1133,"source : knewton a cyclist ' s speed varies , depending on the terrain , between 6.0 miles per hour and 14.0 miles per hour , inclusive . what is the maximum distance , in miles , that the cyclist could travel in 5 hours ?","we are told that : generallya cyclist ' s speed varies , depending on the terrain , between 6.0 miles per hour and 14.0 miles per hour , inclusive . is it possible the cyclist to travel with maximum speed for some time ? why not , if there is right terrain for that . so , if there is long enough terrain for the maximum speed of 14 mph then the maximum distance , in miles , that the cyclist could travel in 5 hours would be 5 * 14 = 70 miles . answer : c .","a ) 42 , b ) 56 , c ) 70 , d ) 98 , e ) 140",c,"multiply(14, 5)","multiply(n1,n2)",physics,"Category: physics # we are told that : generallya cyclist ' s speed varies , depending on the terrain , between 6.0 miles per hour and 14.0 miles per hour , inclusive . is it possible the cyclist to travel with maximum speed for some time ? why not , if there is right terrain for that . so , if there is long enough terrain for the maximum speed of 14 mph then the maximum distance , in miles , that the cyclist could travel in 5 hours would be 5 * 14 = 70 miles . answer : c . # ","Category: physics # we are told that : generallya cyclist ' s speed varies , depending on the terrain , between 6.0 miles per hour and 14.0 miles per hour , inclusive . is it possible the cyclist to travel with maximum speed for some time ? why not , if there is right terrain for that . so , if there is long enough terrain for the maximum speed of 14 mph then the maximum distance , in miles , that the cyclist could travel in 5 hours would be 5 * 14 = 70 miles . answer : c . # source : knewton a cyclist ' s speed varies , depending on the terrain , between 6.0 miles per hour and 14.0 miles per hour , inclusive . what is the maximum distance , in miles , that the cyclist could travel in 5 hours ?",category physics told generallya cyclist speed varies depending terrain 60 miles per hour 140 miles per hour inclusive possible cyclist travel maximum speed time right terrain long enough terrain maximum speed 14 mph maximum distance miles cyclist could travel 5 hours would 5 14 70 miles answer c source knewton cyclist speed varies depending terrain 60 miles per hour 140 miles per hour inclusive maximum distance miles cyclist could travel 5 hours,0,"[""Category: physics # we are told that : generallya cyclist's speed varies, depending on the terrain, between 6.0 miles per hour and 14.0 miles per hour, inclusive. is it possible the cyclist to travel with maximum speed for some time? why not, if there is right terrain for that. so, if there is long enough terrain for the maximum speed of 14 mph then the maximum distance, in miles, that the cyclist could travel in 5 hours would be 5 * 14 = 70 miles. answer : c. # т can travel with an average speed that is 5 miles per hour and 7 miles per hour. on the same day, she travels 6 miles with an average speed that is 3 miles per hour. if she travels the first mile of her journey to the rest of the trip at the rate of 14 mph, what is her approximate speed on the way she travels? ( note : 1 mile / minute ) / ( mile / minute ) + ( minutes / hour ) = 1 mile / hour ( mile / hour ). ( since 1 mile / minute ) * 6.0 mile / hour = 1 mile / hour, then walking at 3 miles / hour, 7 miles / hour. the answer is b. # a cyclist walks from a distance of 2.0 miles per hour to a distance of 1 mile. she spends 2.0 miles every hour to the start, and she spends 1 mile each hour every hour, leaving at 3 miles per hour. she spends 1 mile from the start, but she spends 1 mile every hour, and she spends 1 mile every hour, spending 1 mile every hour. she spends 1 mile from the start, and spends 1 mile every hour. she spends 1 mile from the end, and spends 1 mile every hour on her bicycle, leaving 20 minutes, and spends 1 mile every hour. she spends 1 mile every hour on her bicycles, and spends 1 mile every hour on her cell phone. she spends 1 mile every hour on her cell - and spends 1 hour on her cell -. she spends 1 hour on her cell phone – or spends 1 hour on her cell phone. she spends 1 mile every hour on her cell phone. she spends 1 hour on her cell - and spends 1 hour on her cell - she spends 1 hour on her cell - and spends 1 kilos every hour. she spends 1 hour on her cell phone ; she spends 1 hour on her cell - > spending 1 hour on her""]","(0.65, 37.0)"
1136,"if 20 men take 15 days to to complete a job , in how many days can 25 men finish that work ?",ans . 12 days,"a ) 12 , b ) 66 , c ) 77 , d ) 8 , e ) 6",a,"divide(multiply(20, 15), 25)","multiply(n0,n1)|divide(#0,n2)|",physics,Category: physics # ans . 12 days # ,"Category: physics # ans . 12 days # if 20 men take 15 days to to complete a job , in how many days can 25 men finish that work ?",category physics ans 12 days 20 men take 15 days complete job many days 25 men finish work,2,"['Category: physics # ans. 12 days # ƫ together can do a piece of work in 12 days. she works 10 day on the first day and works 4 days on the last day. it takes her 4 more days for the first day on the second day to work on the fourth day. at the time 2 pm works = 1 / 4 of the 1 day work done by the three day. so, the work done by the three day work in the first day is given by the work done by the work done by the three day work in the next day. the ratio of the work done by her work in the first day was 3 : 4. the ratio of the work done by her work in the last day was 8 : 12. the ratio of the work done by her friend to the work done by her friend to the work done by her friend is 6 : 5. the ratio of the work done by the person to the work done by her friend is 5 : 12. the ratio of the work done by the student in the first day was 5 : 12. the answer is d. # a student took a test with 12 students. she worked the test and finished the test and finished the test. she divided the test by the same fraction as the first day and the second day. she took the test, the student took the test and finished the test and finished the test. she took the test, and 6 days. what fraction of the total number of hours did she spend on the test?']","(0.55, 15.0)"
1139,"the pinedale bus line travels at an average speed of 60 km / h , and has stops every 5 minutes along its route . yahya wants to go from his house to the pinedale mall , which is 7 stops away . how far away , in kilometers , is pinedale mall away from yahya ' s house ?","""number of stops in an hour : 60 / 5 = 12 distance between stops : 60 / 12 = 5 km distance between yahya ' s house and pinedale mall : 5 x 7 = 35 km imo , correct answer is ` ` b . ' '""","a ) 20 km , b ) 35 km , c ) 40 km , d ) 50 km , e ) 60 km",b,"multiply(60, divide(multiply(5, 7), 60))","multiply(n1,n2)|divide(#0,n0)|multiply(n0,#1)|",physics,"Category: physics # number of stops in an hour : 60 / 5 = 12 distance between stops : 60 / 12 = 5 km distance between yahya ' s house and pinedale mall : 5 x 7 = 35 km imo , correct answer is ` ` b . ' ' # ","Category: physics # number of stops in an hour : 60 / 5 = 12 distance between stops : 60 / 12 = 5 km distance between yahya ' s house and pinedale mall : 5 x 7 = 35 km imo , correct answer is ` ` b . ' ' # the pinedale bus line travels at an average speed of 60 km / h , and has stops every 5 minutes along its route . yahya wants to go from his house to the pinedale mall , which is 7 stops away . how far away , in kilometers , is pinedale mall away from yahya ' s house ?",category physics number stops hour 60 5 12 distance stops 60 12 5 km distance yahya house pinedale mall 5 x 7 35 km imo correct answer b pinedale bus line travels average speed 60 km h stops every 5 minutes along route yahya wants go house pinedale mall 7 stops away far away kilometers pinedale mall away yahya house,0,"[""Category: physics # number of stops in an hour : 60 / 5 = 12 distance between stops : 60 / 12 = 5 km distance between yahya's house and pinedale mall : 5 x 7 = 35 km imo, correct answer is ` ` b.'' # ƫ ng kho only and has stop for every hour. if the distance between a station and its wife is 55 kilometers, at what time will they meet?""]","(0.65, 3.0)"
1143,a and b together can complete work in 10 days . a alone starts working and leaves it after working for 6 days completing only half of the work . in how many days it can be completed if the remaining job is undertaken by b ?,"""explanation : ( a + b ) one day work = 1 / 10 now a does half of the work in 6 days so a can complete the whole work in 12 days a ’ s one day work = 1 / 12 b ’ s one day work = 1 / 10 - 1 / 12 = 2 / 120 = 1 / 60 b alone can complete the work in 60 days so half of the work in 30 days answer : option e""","a ) 4 , b ) 8 , c ) 5 , d ) 6 , e ) 30",e,"multiply(10, divide(6, 10))","divide(n1,n0)|multiply(n0,#0)|",physics,Category: physics # explanation : ( a + b ) one day work = 1 / 10 now a does half of the work in 6 days so a can complete the whole work in 12 days a ’ s one day work = 1 / 12 b ’ s one day work = 1 / 10 - 1 / 12 = 2 / 120 = 1 / 60 b alone can complete the work in 60 days so half of the work in 30 days answer : option e # ,Category: physics # explanation : ( a + b ) one day work = 1 / 10 now a does half of the work in 6 days so a can complete the whole work in 12 days a ’ s one day work = 1 / 12 b ’ s one day work = 1 / 10 - 1 / 12 = 2 / 120 = 1 / 60 b alone can complete the work in 60 days so half of the work in 30 days answer : option e # a and b together can complete work in 10 days . a alone starts working and leaves it after working for 6 days completing only half of the work . in how many days it can be completed if the remaining job is undertaken by b ?,category physics explanation b one day work 1 10 half work 6 days complete whole work 12 days one day work 1 12 b one day work 1 10 1 12 2 120 1 60 b alone complete work 60 days half work 30 days answer option e b together complete work 10 days alone starts working leaves working 6 days completing half work many days completed remaining job undertaken b,2,"['Category: physics # explanation : ( a + b ) one day work = 1 / 10 now a does half of the work in 6 days so a can complete the whole work in 12 days a ’ s one day work = 1 / 12 b ’ s one day work = 1 / 10 - 1 / 12 = 2 / 120 = 1 / 60 b alone can complete the work in 60 days so half of the work in 30 days answer : option e # т can do a piece of work in 10 days, but with the help of her friend b together can do it in 12 days. if they work together, what part of the work will be completed in 15 days?']","(0.68, 2.0)"
1149,train a leaves the station traveling at 30 miles per hour . two hours later train в leaves the same station traveling in the same direction at 35 miles per hour . how many miles from the station was train a overtaken by train b ?,"""after two hours , train a is ahead by 60 miles . train b can catch up at a rate of 5 miles per hour . the time to catch up is 60 / 5 = 12 hours . in 12 hours , train a travels another 30 * 12 = 360 miles for a total of 420 miles . the answer is a .""","a ) 420 , b ) 450 , c ) 480 , d ) 510 , e ) 540",a,"multiply(divide(multiply(30, const_2), subtract(35, 30)), 35)","multiply(n0,const_2)|subtract(n1,n0)|divide(#0,#1)|multiply(n1,#2)|",physics,"Category: physics # after two hours , train a is ahead by 60 miles . train b can catch up at a rate of 5 miles per hour . the time to catch up is 60 / 5 = 12 hours . in 12 hours , train a travels another 30 * 12 = 360 miles for a total of 420 miles . the answer is a . # ","Category: physics # after two hours , train a is ahead by 60 miles . train b can catch up at a rate of 5 miles per hour . the time to catch up is 60 / 5 = 12 hours . in 12 hours , train a travels another 30 * 12 = 360 miles for a total of 420 miles . the answer is a . # train a leaves the station traveling at 30 miles per hour . two hours later train в leaves the same station traveling in the same direction at 35 miles per hour . how many miles from the station was train a overtaken by train b ?",category physics two hours train ahead 60 miles train b catch rate 5 miles per hour time catch 60 5 12 hours 12 hours train travels another 30 12 360 miles total 420 miles answer train leaves station traveling 30 miles per hour two hours later train в leaves station traveling direction 35 miles per hour many miles station train overtaken train b,0,"['Category: physics # after two hours, train a is ahead by 60 miles. train b can catch up at a rate of 5 miles per hour. the time to catch up is 60 / 5 = 12 hours. in 12 hours, train a travels another 30 * 12 = 360 miles for a total of 420 miles. the answer is a. # т has recently moved house and descends along the street. she has decided to hire three new workers. she plans to hire a new workers. she plans to hire 3 new workers. she plans to hire 3 new workers. she plans to hire 1 new workers. she plans to hire an old worker. she plans to hire 2 new workers. she plans to hire one new workers. she plans to hire 3 new workers. she plans to hire three new workers. she plans to hire 4 new workers. she plans to hire 3 new workers. she plans to hire 3 new workers. she plans to hire 3 new workers and hires 10 new workers. she plans to hire 1 new workers. she plans to hire an old member and spends only 10 % of the number of the number of the new workers. she plans to hire 3 new workers. she plans to hire 3 new workers. she plans to hire 4 new workers. she plans to hire only one new workers. she plans to hire 3 new workers. she plans to hire 6 new workers. she plans to hire the new time it will hire 3 new workers. she plans to hire 1 new workers. she plans to hire new workers. she plans to hire 1 new workers. she plans to hire 4 new workers. she plans to do yoga, and she plans to exercise. she plans to exercise and do yoga. she plans to exercise. she plans to workout yoga and do yoga. she will do yoga. she plans to workout at the gym and exercise in the gym. she plans to exercise. she plans to workout at an arbitrary gym and do yoga. she plans to exercise to exercise and do yoga. she plans to exercise and do yoga. she plans to exercise everyday and do yoga. she spends exercise and yoga. she spends exercise. she plans to exercise and do yoga. she spends exercise and am yoga. she spends exercise. she spends exercise. she spends yoga. she spends exercise and yoga. she spends exercise, yoga, yoga, yoga, yoga and exercise. she spends exercise. she spends exercise. she spends exercise and yoga, exercise. she spends exercise.']","(0.49, 21.0)"
1155,10 men and 15 women together can complete a work in 4 days . it takes 100 days for one man alone to complete the same work . how many days will be required for one woman alone to complete the same work ?,"""1 man ' s 1 day work = 1 / 100 ( 10 men + 15 women ) ' s 1 day work = 1 / 4 15 women ' s 1 day work = ( 1 / 4 - 10 / 100 ) = 3 / 20 1 woman ' s 1 day work = 1 / 100 1 woman alone can complete the work in 100 days . answer : a""","a ) 100 days , b ) 667 days , c ) 177 days , d ) 187 days , e ) 225 days",a,"multiply(divide(multiply(const_1, 100), subtract(multiply(const_1, 100), multiply(10, 4))), multiply(15, 4))","multiply(n3,const_1)|multiply(n0,n2)|multiply(n1,n2)|subtract(#0,#1)|divide(#0,#3)|multiply(#4,#2)|",physics,Category: physics # 1 man ' s 1 day work = 1 / 100 ( 10 men + 15 women ) ' s 1 day work = 1 / 4 15 women ' s 1 day work = ( 1 / 4 - 10 / 100 ) = 3 / 20 1 woman ' s 1 day work = 1 / 100 1 woman alone can complete the work in 100 days . answer : a # ,Category: physics # 1 man ' s 1 day work = 1 / 100 ( 10 men + 15 women ) ' s 1 day work = 1 / 4 15 women ' s 1 day work = ( 1 / 4 - 10 / 100 ) = 3 / 20 1 woman ' s 1 day work = 1 / 100 1 woman alone can complete the work in 100 days . answer : a # 10 men and 15 women together can complete a work in 4 days . it takes 100 days for one man alone to complete the same work . how many days will be required for one woman alone to complete the same work ?,category physics 1 man 1 day work 1 100 10 men 15 women 1 day work 1 4 15 women 1 day work 1 4 10 100 3 20 1 woman 1 day work 1 100 1 woman alone complete work 100 days answer 10 men 15 women together complete work 4 days takes 100 days one man alone complete work many days required one woman alone complete work,2,"[""Category: physics # 1 man's 1 day work = 1 / 100 ( 10 men + 15 women )'s 1 day work = 1 / 4 15 women's 1 day work = ( 1 / 4 - 10 / 100 ) = 3 / 20 1 woman's 1 day work = 1 / 100 1 woman alone can complete the work in 100 days. answer : a # ʵ s 1 day work was done by 10 women. if the same work was finished in 2 days, then how many women do it?""]","(0.63, 4.0)"
1159,the radius of a wheel is 12.6 cm . what is the distance covered by the wheel in making 200 resolutions ?,"""in one resolution , the distance covered by the wheel is its own circumference . distance covered in 200 resolutions . = 200 * 2 * 22 / 7 * 12.6 = 15825.6 cm = 158.256 m answer : d""","a ) 158.210 m , b ) 704 m , c ) 153.256 m , d ) 158.256 m , e ) 204 m",d,"divide(multiply(multiply(multiply(divide(add(multiply(add(const_3, const_4), const_3), const_1), add(const_3, const_4)), 12.6), const_2), 200), const_100)","add(const_3,const_4)|multiply(#0,const_3)|add(#1,const_1)|divide(#2,#0)|multiply(n0,#3)|multiply(#4,const_2)|multiply(n1,#5)|divide(#6,const_100)|",physics,"Category: physics # in one resolution , the distance covered by the wheel is its own circumference . distance covered in 200 resolutions . = 200 * 2 * 22 / 7 * 12.6 = 15825.6 cm = 158.256 m answer : d # ","Category: physics # in one resolution , the distance covered by the wheel is its own circumference . distance covered in 200 resolutions . = 200 * 2 * 22 / 7 * 12.6 = 15825.6 cm = 158.256 m answer : d # the radius of a wheel is 12.6 cm . what is the distance covered by the wheel in making 200 resolutions ?",category physics one resolution distance covered wheel circumference distance covered 200 resolutions 200 2 22 7 126 158256 cm 158256 answer radius wheel 126 cm distance covered wheel making 200 resolutions,4,"['Category: physics # in one resolution, the distance covered by the wheel is its own circumference. distance covered in 200 resolutions. = 200 * 2 * 22 / 7 * 12.6 = 15825.6 cm = 158.256 m answer : d # ʵ s diameter was 12.6 cm. what is the distance covered by the wheel in making 100 resolutions?']","(0.87, 1.0)"
1161,"on my sister ' s birthday , she was 143 cm in height , having grown 10 % since the year before . how tall was she the previous year ?","""let the previous year ' s height be x . 1.1 x = 143 x = 130 the answer is c .""","a ) 140 cm , b ) 136 cm , c ) 130 cm , d ) 127 cm , e ) 125 cm",c,"subtract(143, divide(multiply(143, 10), const_100))","multiply(n0,n1)|divide(#0,const_100)|subtract(n0,#1)|",physics,Category: physics # let the previous year ' s height be x . 1.1 x = 143 x = 130 the answer is c . # ,"Category: physics # let the previous year ' s height be x . 1.1 x = 143 x = 130 the answer is c . # on my sister ' s birthday , she was 143 cm in height , having grown 10 % since the year before . how tall was she the previous year ?",category physics let previous year height x 11 x 143 x 130 answer c sister birthday 143 cm height grown 10 since year tall previous year,4,"[""Category: physics # let the previous year's height be x. 1.1 x = 143 x = 130 the answer is c. # ʵ karthik's height was 20 percent less than karthik's height. the following year, she has made a resolution to lose weight. the next year she makes an resolution to weight down to the nearest whole number. she makes an resolution to the nearest whole number and works 10 percent less per year. what was last year ’ s height in karthik's height in last year?""]","(0.44, 1.0)"
1170,area of four walls of a room is 99 m 2 . the length and breadth of the room are 7.5 m and 3.5 m respectively . the height of the room is :,2 ( 7.5 + 3.5 ) × h = 99 2 ( 11 ) h = 99 22 h = 99 h = 99 / 22 = 9 / 2 = 4.5 m answer is d .,"['a ) 2.5 m', 'b ) 3.5 m', 'c ) 1.5 m', 'd ) 4.5 m', 'e ) 5.5 m']",d,"divide(99, add(multiply(7.5, const_2), multiply(3.5, const_2)))","multiply(n2,const_2)|multiply(n3,const_2)|add(#0,#1)|divide(n0,#2)",physics,Category: physics # 2 ( 7.5 + 3.5 ) × h = 99 2 ( 11 ) h = 99 22 h = 99 h = 99 / 22 = 9 / 2 = 4.5 m answer is d . # ,Category: physics # 2 ( 7.5 + 3.5 ) × h = 99 2 ( 11 ) h = 99 22 h = 99 h = 99 / 22 = 9 / 2 = 4.5 m answer is d . # area of four walls of a room is 99 m 2 . the length and breadth of the room are 7.5 m and 3.5 m respectively . the height of the room is :,category physics 2 75 35 h 99 2 11 h 99 22 h 99 h 99 22 9 2 45 answer area four walls room 99 2 length breadth room 75 35 respectively height room,4,"['Category: physics # 2 ( 7.5 + 3.5 ) × h = 99 2 ( 11 ) h = 99 22 h = 99 h = 99 / 22 = 9 / 2 = 4.5 m answer is d. # ƫ ng of 2 trains, one from howrah to patna and the other at patna. find the distance between the meeting point and the end of the year?']","(0.53, 2.0)"
1180,"usc invited each south carolina high school to send up to 39 students to watch a football game . a section which has 199 seats in each row is reserved for those students . what is the least number of rows needed to guarantee that if 2006 students show up , then all students from the same high school can be seated in the same row ?","the answer is 12 rows . if 59 schools send 34 students each , then we can sit at most 5 groups of students in the same row , so we will need 12 rows . next , 12 rows are sufficient . assume that this is not the case . suppose the groups of students are seated like this : first the largest group , then the second largest group , then the third largest group , etc . suppose we run out of space - there are not enough seats in any row to seat together the next group . suppose the first group that can not be seated together is the kth group and it consists of n students . then k 61 since any row fits at least 5 groups . also , n 2006 / k 2006 / 61 < 33 ( all groups already seated are no smaller than the kth group ) . so , n 32 . since there is not enough space in any of the 12 rows to seat the kth group , then there must be at least 168 students seated in each of the 12 rows . now , 12 × 168 = 2016 > 2006 a contradiction . so , 12 rows are sufficient . correct answer b","a ) 11 , b ) 12 , c ) 13 , d ) 14 , e ) 15",b,"add(divide(2006, 199), const_2)","divide(n2,n1)|add(#0,const_2)",physics,"Category: physics # the answer is 12 rows . if 59 schools send 34 students each , then we can sit at most 5 groups of students in the same row , so we will need 12 rows . next , 12 rows are sufficient . assume that this is not the case . suppose the groups of students are seated like this : first the largest group , then the second largest group , then the third largest group , etc . suppose we run out of space - there are not enough seats in any row to seat together the next group . suppose the first group that can not be seated together is the kth group and it consists of n students . then k 61 since any row fits at least 5 groups . also , n 2006 / k 2006 / 61 < 33 ( all groups already seated are no smaller than the kth group ) . so , n 32 . since there is not enough space in any of the 12 rows to seat the kth group , then there must be at least 168 students seated in each of the 12 rows . now , 12 × 168 = 2016 > 2006 a contradiction . so , 12 rows are sufficient . correct answer b # ","Category: physics # the answer is 12 rows . if 59 schools send 34 students each , then we can sit at most 5 groups of students in the same row , so we will need 12 rows . next , 12 rows are sufficient . assume that this is not the case . suppose the groups of students are seated like this : first the largest group , then the second largest group , then the third largest group , etc . suppose we run out of space - there are not enough seats in any row to seat together the next group . suppose the first group that can not be seated together is the kth group and it consists of n students . then k 61 since any row fits at least 5 groups . also , n 2006 / k 2006 / 61 < 33 ( all groups already seated are no smaller than the kth group ) . so , n 32 . since there is not enough space in any of the 12 rows to seat the kth group , then there must be at least 168 students seated in each of the 12 rows . now , 12 × 168 = 2016 > 2006 a contradiction . so , 12 rows are sufficient . correct answer b # usc invited each south carolina high school to send up to 39 students to watch a football game . a section which has 199 seats in each row is reserved for those students . what is the least number of rows needed to guarantee that if 2006 students show up , then all students from the same high school can be seated in the same row ?",category physics answer 12 rows 59 schools send 34 students sit 5 groups students row need 12 rows next 12 rows sufficient assume case suppose groups students seated like first largest group second largest group third largest group etc suppose run space enough seats row seat together next group suppose first group seated together kth group consists n students k 61 since row fits least 5 groups also n 2006 k 2006 61 33 groups already seated smaller kth group n 32 since enough space 12 rows seat kth group must least 168 students seated 12 rows 12 168 2016 2006 contradiction 12 rows sufficient correct answer b usc invited south carolina high school send 39 students watch football game section 199 seats row reserved students least number rows needed guarantee 2006 students show students high school seated row,4,"['Category: physics # the answer is 12 rows. if 59 schools send 34 students each, then we can sit at most 5 groups of students in the same row, so we will need 12 rows. next, 12 rows are sufficient. assume that this is not the case. suppose the groups of students are seated like this : first the largest group, then the second largest group, then the third largest group, etc. suppose we run out of space - there are not enough seats in any row to seat together the next group. suppose the first group that can not be seated together is the kth group and it consists of n students. then k 61 since any row fits at least 5 groups. also, n 2006 / k 2006 / 61 < 33 ( all groups already seated are no smaller than the kth group ). so, n 32. since there is not enough space in any of the 12 rows to seat the kth group, then there must be at least 168 students seated in each of the 12 rows. now, 12 × 168 = 2016 > 2006 a contradiction. so, 12 rows are sufficient. correct answer b # ian has decided to seat back because of a bus or desk. she plans to seat back because of a bus. she spends 1 / 4 of her first row to seat back and 1 / 4 of her second row to desk. she spends 1 / 4 of the first class and her second row to desk. she spends 1 / 8 of her third grade to seat and the rest on her fourth position. she spends 1 / 4 of her third class remaining on her third class and saves 1 / 6 of her final class. what fraction of her total class has left class?']","(0.7, 19.0)"
1185,a train passes a man standing on a platform in 8 seconds and also crosses the platform which is 276 metres long in 20 seconds . the length of the train ( in metres ) is :,"""explanation : let the length of train be l m . acc . to question ( 276 + l ) / 20 = l / 8 2208 + 8 l = 20 l l = 2208 / 12 = 184 m answer a""","a ) 184 , b ) 176 , c ) 175 , d ) 96 , e ) none of these",a,"multiply(divide(276, subtract(20, 8)), 8)","subtract(n2,n0)|divide(n1,#0)|multiply(n0,#1)|",physics,Category: physics # explanation : let the length of train be l m . acc . to question ( 276 + l ) / 20 = l / 8 2208 + 8 l = 20 l l = 2208 / 12 = 184 m answer a # ,Category: physics # explanation : let the length of train be l m . acc . to question ( 276 + l ) / 20 = l / 8 2208 + 8 l = 20 l l = 2208 / 12 = 184 m answer a # a train passes a man standing on a platform in 8 seconds and also crosses the platform which is 276 metres long in 20 seconds . the length of the train ( in metres ) is :,category physics explanation let length train l acc question 276 l 20 l 8 2208 8 l 20 l l 2208 12 184 answer train passes man standing platform 8 seconds also crosses platform 276 metres long 20 seconds length train metres,1,['Category: physics # explanation : let the length of train be l m. acc. to question ( 276 + l ) / 20 = l / 8 2208 + 8 l = 20 l l = 2208 / 12 = 184 m answer a # т speeds past a pole in 20 seconds and a platform 22 l meters long is 22.9 kmph. find the length of the train?'],"(0.7, 3.0)"
1188,"a man cycles round the boundary of a rectangular park at the rate of 12 kmph and completes one full round in 8 minutes . if the ratio between the length and breadth of the park be 3 : 2 , then its area is :","perimeter = distance covered in 8 min = ( 12000 / 60 * 8 ) m = 1600 m let , length = 3 x meters and breadth = 2 x meters then , 2 ( 3 x + 2 x ) = 1600 or x = 160 therefore , length = 480 m and breadth = 320 m therefore , area = ( 480 * 320 ) m 2 = 153600 m 2 answer : c","['a ) 1536 m 2', 'b ) 15360 m 2', 'c ) 153600 m 2', 'd ) 163600 m 2', 'e ) none of these']",c,"multiply(multiply(divide(multiply(8, divide(multiply(12, const_1000), multiply(multiply(const_3, const_2), const_10))), const_10), 2), multiply(divide(multiply(8, divide(multiply(12, const_1000), multiply(multiply(const_3, const_2), const_10))), const_10), 3))","multiply(n0,const_1000)|multiply(const_2,const_3)|multiply(#1,const_10)|divide(#0,#2)|multiply(n1,#3)|divide(#4,const_10)|multiply(n3,#5)|multiply(n2,#5)|multiply(#6,#7)",physics,"Category: physics # perimeter = distance covered in 8 min = ( 12000 / 60 * 8 ) m = 1600 m let , length = 3 x meters and breadth = 2 x meters then , 2 ( 3 x + 2 x ) = 1600 or x = 160 therefore , length = 480 m and breadth = 320 m therefore , area = ( 480 * 320 ) m 2 = 153600 m 2 answer : c # ","Category: physics # perimeter = distance covered in 8 min = ( 12000 / 60 * 8 ) m = 1600 m let , length = 3 x meters and breadth = 2 x meters then , 2 ( 3 x + 2 x ) = 1600 or x = 160 therefore , length = 480 m and breadth = 320 m therefore , area = ( 480 * 320 ) m 2 = 153600 m 2 answer : c # a man cycles round the boundary of a rectangular park at the rate of 12 kmph and completes one full round in 8 minutes . if the ratio between the length and breadth of the park be 3 : 2 , then its area is :",category physics perimeter distance covered 8 min 12000 60 8 1600 let length 3 x meters breadth 2 x meters 2 3 x 2 x 1600 x 160 therefore length 480 breadth 320 therefore area 480 320 2 153600 2 answer c man cycles round boundary rectangular park rate 12 kmph completes one full round 8 minutes ratio length breadth park 3 2 area,4,"['Category: physics # perimeter = distance covered in 8 min = ( 12000 / 60 * 8 ) m = 1600 m let, length = 3 x meters and breadth = 2 x meters then, 2 ( 3 x + 2 x ) = 1600 or x = 160 therefore, length = 480 m and breadth = 320 m therefore, area = ( 480 * 320 ) m 2 = 153600 m 2 answer : c # ʼ s rectangular park has a roads of length 12 meters and breadth 2 meters. what is the total area of the roads if the roads is 320 metres?']","(0.73, 3.0)"
1190,a is twice as good a workman as b and they took 9 days together to do the work b alone can do it in .,"""wc = 2 : 1 2 x + x = 1 / 9 x = 1 / 27 = > 27 days answer : e""","a ) 17 days , b ) 12 days , c ) 29 days , d ) 25 days , e ) 27 days",e,"multiply(divide(multiply(9, add(const_2, const_1)), const_2), const_2)","add(const_1,const_2)|multiply(n0,#0)|divide(#1,const_2)|multiply(#2,const_2)|",physics,Category: physics # wc = 2 : 1 2 x + x = 1 / 9 x = 1 / 27 = > 27 days answer : e # ,Category: physics # wc = 2 : 1 2 x + x = 1 / 9 x = 1 / 27 = > 27 days answer : e # a is twice as good a workman as b and they took 9 days together to do the work b alone can do it in .,category physics wc 2 1 2 x x 1 9 x 1 27 27 days answer e twice good workman b took 9 days together work b alone,2,['Category: physics # wc = 2 : 1 2 x + x = 1 / 9 x = 1 / 27 = > 27 days answer : e # ƫ can do a piece of work in 27 days and wc in 15 days. he works at it for 6 days and finishes it in 5 days. in how many days will they finish the work together?'],"(0.54, 4.0)"
1193,"the length of the bridge , which a train 130 metres long and travelling at 108 km / hr can cross in 30 seconds , is :","""speed = [ 108 x 5 / 18 ] m / sec = 30 m / sec time = 10 sec let the length of bridge be x metres . then , ( 130 + x ) / 30 = 10 = > 130 + x = 300 = > x = 170 m . answer : d""","a ) 200 m , b ) 225 m , c ) 245 m , d ) 170 m , e ) 240 m",d,"subtract(multiply(divide(multiply(108, speed(const_1000, const_1)), speed(const_3600, const_1)), 30), 130)","speed(const_1000,const_1)|speed(const_3600,const_1)|multiply(n1,#0)|divide(#2,#1)|multiply(n2,#3)|subtract(#4,n0)|",physics,"Category: physics # speed = [ 108 x 5 / 18 ] m / sec = 30 m / sec time = 10 sec let the length of bridge be x metres . then , ( 130 + x ) / 30 = 10 = > 130 + x = 300 = > x = 170 m . answer : d # ","Category: physics # speed = [ 108 x 5 / 18 ] m / sec = 30 m / sec time = 10 sec let the length of bridge be x metres . then , ( 130 + x ) / 30 = 10 = > 130 + x = 300 = > x = 170 m . answer : d # the length of the bridge , which a train 130 metres long and travelling at 108 km / hr can cross in 30 seconds , is :",category physics speed 108 x 5 18 sec 30 sec time 10 sec let length bridge x metres 130 x 30 10 130 x 300 x 170 answer length bridge train 130 metres long travelling 108 km hr cross 30 seconds,1,"['Category: physics # speed = [ 108 x 5 / 18 ] m / sec = 30 m / sec time = 10 sec let the length of bridge be x metres. then, ( 130 + x ) / 30 = 10 = > 130 + x = 300 = > x = 170 m. answer : d # т drives a train 130 metre long at a speed of 108 kmph and a platform 110 metre long at a speed of 108 kmph. what is the length of the train?']","(0.64, 2.0)"
